AxisNo TryNo NewCalOff ContactTorque AveTorque Ip Kv ContactPoint
1 0 1.1997 0.408028 0.198849 0.0576134 0.131973 0
1 1 1.19846 0.4069 0.196603 0.0531731 0.133769 57.9719
1 2 1.19482 0.406679 0.194801 0.0510608 0.134024 57.9698
2 0 5.41233 0.192875 0.0773942 -0.0217434 0.0188241 0
2 1 5.39545 0.186662 0.070937 -0.0289356 0.019058 -13.9079
2 2 5.40216 0.184933 0.0690312 -0.0276799 0.0180517 -13.9111
3 0 4.52611 -0.310364 -0.205339 -0.105976 0.0481081 0
3 1 4.5264 -0.310939 -0.20568 -0.10689 0.0476433 -50.6915
3 2 4.52476 -0.308642 -0.201851 -0.101009 0.0493068 -50.6925
4 0 0.0658354 -0.114974 -0.0721486 -0.0131595 0.0217118 0
4 1 0.0661206 -0.114802 -0.0723955 -0.0154609 0.020173 21.5752
4 2 0.0648778 -0.116904 -0.0743952 -0.0169322 0.0205688 21.5762
5 0 1.6177 0.103018 0.0742016 0.0291114 0.00766833 0
5 1 1.61722 0.101405 0.072451 0.0266448 0.00821243 -24.2897
5 2 1.61626 0.100035 0.0714435 0.0242151 0.00929334 -24.289
6 0 3.96904 -0.0615878 -0.0308883 -0.0183579 0.0103271 0
6 1 3.96463 -0.0618202 -0.0305144 -0.0182916 0.0101862 0.019042
6 2 3.9653 -0.0622035 -0.0300392 -0.0188136 0.00972909 0.019811
